id,time_stamp,is_visible,is_noisy,is_moving,location_id,range,angle_degree,sensor_pose_xytheta,trajectory_id
0,1704890576.364342,1,0,False,0,"[0.9750005455316898, 1.3349994057455803]","[11.003440617603747, -11.99660427471241]","[0.0, 0.0, -5.717208841815591e-05]",0
0,1704890608.7076356,1,0,False,0,"[0.9750006968927883, 1.3349992409282736]","[11.004395995983028, -11.995661348872702]","[-9.950847527495372e-14, 8.269887699982534e-10, -7.304822793230414e-05]",1
1,1704890608.8633518,1,0,False,0,"[0.9750009979914203, 1.334998913140895]","[11.006295461161415, -11.9937866512385]","[-2.5715840938937598e-14, 1.7722860136068023e-09, -0.00010461220517754555]",1
2,1704890609.0208874,1,0,False,0,"[0.9749997677713127, 1.3350002530755647]","[10.998537063080253, -12.001443821307912]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 2.4307635612785708e-05]",1
3,1704890609.1770275,1,0,False,0,"[0.9749993566611495, 1.3350007012458267]","[10.995943184270589, -12.004003852346163]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 6.740959361195564e-05]",1
4,1704890609.3325422,1,0,False,0,"[0.975000077694836, 1.3349999153448044]","[11.000492109772257, -11.999514284870546]","[-2.5715840938937598e-14, 1.7722860136068023e-09, -8.17899126559485e-06]",1
5,1704890609.4886878,1,0,False,0,"[0.975000016282325, 1.3349999822584633]","[11.000104737237583, -11.999896602900012]","[-2.5715840938937598e-14, 1.7722860136068023e-09, -1.742097083479166e-06]",1
6,1704890609.6423934,1,0,False,0,"[0.9749995173221885, 1.3350005260781337]","[10.99695693905113, -12.003003326388797]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 5.056423833593726e-05]",1
7,1704890609.7969105,1,0,False,0,"[0.9750001832836989, 1.3349998003079588]","[11.00115810253052, -11.99885698199798]","[-2.5715840938937598e-14, 1.7722860136068023e-09, -1.9245664589107037e-05]",1
8,1704890609.9529357,1,0,False,0,"[0.9749995782326575, 1.3350004596757732]","[10.997341253726058, -12.002624026683138]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 4.4178159441798925e-05]",1
9,1704890610.1087549,1,0,False,0,"[0.9749998182874079, 1.3350001980193245]","[10.9988557500695, -12.001129292756106]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 1.9012077245861292e-05]",1
10,1704890610.2685802,1,0,False,0,"[0.9749994526426488, 1.3350005965941698]","[10.996548828869704, -12.003406111041903]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 5.734572187066089e-05]",1
11,1704890610.4248521,1,0,False,0,"[0.9749991030388923, 1.3350009778302916]","[10.99434266541047, -12.005583484875155]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 9.40050813369453e-05]",1
12,1704890610.5805,1,0,False,0,"[0.9750005729825891, 1.3349993758524756]","[11.003615749807349, -11.996431400994759]","[-2.5715840938937598e-14, 1.7722860136068023e-09, -6.0083926655352116e-05]",1
13,1704890610.7372742,1,0,False,0,"[0.9749995690736343, 1.335000469660326]","[10.997283465708191, -12.002681060620912]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 4.51384112238884e-05]",1
14,1704890610.896827,1,0,False,0,"[0.9750001075108152, 1.334999882859596]","[11.000680175564382, -11.99932867297782]","[-2.5715840938937598e-14, 1.7722860136068023e-09, -1.1304044164717197e-05]",1
15,1704890611.0457447,1,0,False,0,"[0.9749995453998592, 1.3350004954683448]","[10.99713409679789, -12.002828480400686]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 4.762044409289956e-05]",1
16,1704890611.2037382,1,0,False,0,"[0.9750003016890878, 1.334999671323344]","[11.001904886982022, -11.998119941445207]","[-2.5715840938937598e-14, 1.7722860136068023e-09, -3.165483940392722e-05]",1
17,1704890611.355844,1,0,False,0,"[0.9750004084294723, 1.3349995550600737]","[11.00257805709964, -11.997455554577192]","[-2.5715840938937598e-14, 1.7722860136068023e-09, -4.28407802246511e-05]",1
18,1704890611.515551,1,0,False,0,"[0.9749993820205511, 1.3350006735946187]","[10.99610320565701, -12.003845919152532]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 6.475055124610662e-05]",1
19,1704890611.6723425,1,0,False,0,"[0.9749992468125522, 1.3350008210305064]","[10.99524999758008, -12.004687993235379]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 7.892813300713908e-05]",1
20,1704890611.8232324,1,0,False,0,"[0.9749997866195214, 1.3350002325330186]","[10.99865597038687, -12.001326465585612]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 2.2331776563078165e-05]",1
21,1704890611.9759853,1,0,False,0,"[0.9749998399997168, 1.3350001743565376]","[10.99899272203132, -12.000994108085166]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 1.673604128882278e-05]",1
22,1704890612.1295373,1,0,False,0,"[0.9749997451864879, 1.3350002776911756]","[10.99839458098261, -12.001584444195561]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 2.6675232220441103e-05]",1
23,1704890612.2771218,1,0,False,0,"[0.9749996339784162, 1.3350003989076107]","[10.997692970008982, -12.002276899950202]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 3.833376104012132e-05]",1
24,1704890612.431712,1,0,False,0,"[0.9749993361999165, 1.335000723556755]","[10.995814069336316, -12.00413128239457]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 6.955506978556525e-05]",1
25,1704890612.5870407,1,0,False,0,"[0.9749994914223296, 1.3350005543145314]","[10.996793519834899, -12.003164613114215]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 5.3279742132872235e-05]",1
26,1704890612.7446344,1,0,False,0,"[0.9750006701351986, 1.3349992700627322]","[11.004228360956153, -11.995826782637522]","[-2.5715840938937598e-14, 1.7722860136068023e-09, -7.026357343420386e-05]",1
27,1704890612.8926036,1,0,False,0,"[0.9749996180433419, 1.3350004162779798]","[10.997592432104671, -12.002376125937985]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 4.0004379115998745e-05]",1
28,1704890613.0473616,1,0,False,0,"[0.9749997663159917, 1.3350002546617274]","[10.99852788187377, -12.001452882711522]","[-2.5715840938937598e-14, 1.7722860136068023e-09, 2.4460197892040014e-05]",1
29,1704890613.2075045,1,0,False,0,"[0.9750001058519522, 1.3349998846669386]","[11.000669712285575, -11.999338999731101]","[-2.5715840938937598e-14, 1.7722860136068023e-09, -1.113017788156867e-05]",1
30,1704890613.364676,1,0,False,0,"[0.9750010050925285, 1.3349989054116425]","[11.006340228678837, -11.9937424677746]","[-2.5715840938937598e-14, 1.7722860136068023e-09, -0.00010535609908401977]",1
31,1704890613.524901,1,0,False,0,"[0.9750004128870111, 1.334999550205145]","[11.002606168175966, -11.99742781027978]","[-2.5715840938937598e-14, 1.7722860136068023e-09, -4.3307896703481674e-05]",1
32,1704890613.6757064,1,0,False,0,"[0.975000456633141, 1.3349995025602777]","[11.00288204554293, -11.997155532406717]","[-2.5715840938937598e-14, 1.7722860136068023e-09, -4.789209924638271e-05]",1
33,1704890613.8295884,1,0,False,0,"[0.9748746555151853, 1.334877429581118]","[10.994388079238808, -12.008068554697699]","[0.00012655343133963359, 1.131105099963927e-08, 0.00011682329932227731]",1
34,1704890613.9840598,1,0,False,0,"[0.9740630095969524, 1.33405149187564]","[11.055180565112142, -11.964788475990723]","[0.00096180596716573, -3.8566008478281897e-07, -0.0007371451119979611]",1
35,1704890614.1407323,1,0,False,0,"[0.9726713909287359, 1.3326655249216857]","[11.06764781390222, -11.980918525076655]","[0.0023792040005921355, -1.4533071842327413e-06, -0.0006782588716305327]",1
36,1704890614.2970715,1,0,False,0,"[0.9713350666574347, 1.3313231634477967]","[11.113765193457057, -11.962898197058623]","[0.003745980267329392, -2.9116213772242466e-06, -0.0011868120927829295]",1
37,1704890614.4531991,1,0,False,0,"[0.9699117825969095, 1.3299200990950135]","[11.08302627704126, -12.022318116313258]","[0.005188688938865959, -3.949876161827534e-06, -0.00040388532215729356]",1
38,1704890614.6086519,1,0,False,0,"[0.9680494400728937, 1.3280629665340917]","[11.107060442877923, -12.036980670343876]","[0.007086989954901439, -5.242241289323738e-06, -0.00044384546345099807]",1
39,1704890614.764877,1,0,False,0,"[0.966710007556848, 1.3267244252218846]","[11.133590709579126, -12.038506075744804]","[0.008453766961310843, -5.610903261342779e-06, -0.0006255392145249061]",1
40,1704890614.9206815,1,0,False,0,"[0.9653256359483262, 1.325331438575051]","[11.188085423396275, -12.013556261502007]","[0.00987116430498252, -7.360523354810161e-06, -0.0012600051704794168]",1
41,1704890615.0768983,1,0,False,0,"[0.9631670552066731, 1.3231761032530371]","[11.222878787619974, -12.024149925493907]","[0.012073192318622531, -1.008621654255711e-05, -0.0014157811529003084]",1
42,1704890615.2333589,1,0,False,0,"[0.9604616154923815, 1.3204773387671473]","[11.258111806140597, -12.04592886083006]","[0.014832054361423415, -1.3990805842885923e-05, -0.0014689489034935832]",1
43,1704890615.3887968,1,0,False,0,"[0.9575840079235883, 1.3176042087892645]","[11.302881026289754, -12.06224664815328]","[0.017768090267516433, -1.8630973804929638e-05, -0.0016425058711320162]",1
44,1704890615.5450974,1,0,False,0,"[0.9546555356776831, 1.3146835502506862]","[11.338374431564992, -12.089093152190934]","[0.020754747006765124, -2.366212985910877e-05, -0.0016483760555274785]",1
45,1704890615.7007744,1,0,False,0,"[0.9517010219540241, 1.3117401355141944]","[11.364046362485478, -12.126499492927259]","[0.023766713425006095, -2.9277666624298352e-05, -0.0014821153599768877]",1
46,1704890615.857128,1,0,False,0,"[0.948825194633243, 1.308867122295874]","[11.412990768526237, -12.139694515758912]","[0.026702748275742684, -3.4564491180969036e-05, -0.0017136995447799563]",1
47,1704890616.0129392,1,0,True,0,"[0.9436162351452737, 1.3036705855217163]","[11.481478327128523, -12.18424560115462]","[0.03201798598321929, -4.2790542437873605e-05, -0.0017912943148985505]",1
48,1704890616.1687415,1,0,True,0,"[0.9391569350731959, 1.299212344025807]","[11.565721875449617, -12.198150387281995]","[0.03657390003835583, -5.208054875388721e-05, -0.002269863151013851]",1
49,1704890616.3289456,1,0,True,0,"[0.9348410935594929, 1.2948591869970634]","[11.752155266114936, -12.109476037809841]","[0.04100324338759027, -6.733331404005026e-05, -0.0044539247173815966]",1
50,1704890616.481761,1,0,True,0,"[0.9304839125830648, 1.2905001910687035]","[11.8284509615176, -12.130843156037825]","[0.045457875056436774, -8.825004745697362e-05, -0.004791534040123224]",1
51,1704890616.636641,1,0,True,0,"[0.9260878366760026, 1.2860825084880503]","[11.960083631429848, -12.099602600710353]","[0.04996311664039514, -0.00011158400008381817, -0.006024739705026151]",1
52,1704890616.7967086,1,0,True,0,"[0.9218499526084545, 1.2817079448869293]","[12.404745991448829, -11.758576540096287]","[0.054367013395023256, -0.00014876114332848037, -0.01244387123733759]",1
53,1704890616.952899,1,0,True,0,"[0.9176516394955342, 1.277166700476464]","[13.377571908249829, -10.900142765834339]","[0.05884604408255396, -0.00024010006857226712, -0.02753461431711912]",1
54,1704890617.1091657,1,0,True,0,"[0.9117850431764534, 1.2707424375815324]","[14.807538955260316, -9.635737776433963]","[0.06516864547339246, -0.0004904714981604935, -0.049629840068519115]",1
55,1704890617.2645712,1,0,True,0,"[0.9076565937955546, 1.2661644052772234]","[15.865638592913504, -8.698314922253898]","[0.06966617204512057, -0.0007541492236221902, -0.06592012103646994]",1
56,1704890617.4210103,1,0,True,0,"[0.9043637252990621, 1.2624529192701501]","[16.810403787829742, -7.853687248754926]","[0.0733012511911133, -0.0010189865973272937, -0.08050712849944831]",1
57,1704890617.5770278,1,0,True,0,"[0.9004454214816585, 1.258067939394032]","[17.768051212071033, -7.014372001095943]","[0.07761316059238585, -0.0013929558740754864, -0.09503310825675726]",1
58,1704890617.7328525,1,0,True,0,"[0.8964121220522894, 1.253536345389824]","[18.71729856020958, -6.188846954175911]","[0.08207030527858458, -0.001844494944310713, -0.10929167922586204]",1
59,1704890617.8889725,1,0,True,0,"[0.8925901111883177, 1.249181695420916]","[19.697322605207667, -5.330214992918112]","[0.08634430886260765, -0.002341304635873517, -0.12403963413089514]",1
60,1704890618.0449417,1,0,True,0,"[0.888654658925156, 1.2446519693278093]","[20.741339621150637, -4.414617573618705]","[0.0907862214784751, -0.0029238696663342187, -0.13970436807721853]",1
61,1704890618.2009158,1,0,True,0,"[0.8831999275728867, 1.2383764313830705]","[22.026183711990072, -3.30928258378824]","[0.09694387233244546, -0.00384605094709824, -0.15857794042676687]",1
62,1704890618.3569434,1,0,True,0,"[0.8791492981906016, 1.2336359406109172]","[23.07357876204426, -2.4008032816681752]","[0.10158600874271867, -0.0046292166607864, -0.17399740871042013]",1
63,1704890618.5097666,1,0,True,0,"[0.8754659167701868, 1.2292858575422814]","[24.03964880230648, -1.564166735409388]","[0.10584273465494261, -0.005411930237915414, -0.1881442880257964]",1
64,1704890618.6648042,1,0,True,0,"[0.871583449903524, 1.2246656784453236]","[25.05328104354591, -0.6898985915992168]","[0.11036064402396241, -0.006311018635233177, -0.20287340041249993]",1
65,1704890618.8248212,1,0,True,0,"[0.8677530501192958, 1.2200811968025431]","[26.02857660136341, 0.14540682237154431]","[0.11484089616142104, -0.007267403172095663, -0.21689491625875235]",1
66,1704890618.9809713,1,0,True,0,"[0.8639575041800102, 1.2154578875712638]","[27.09691103614267, 1.0695622964299916]","[0.1193554066261724, -0.00830317827407336, -0.23234631773084402]",1
67,1704890619.1366606,1,0,True,0,"[0.8603572738619699, 1.2110483384763826]","[28.077848505881434, 1.9114055365757676]","[0.12365799476739905, -0.00935518051085898, -0.24636513646692038]",1
68,1704890619.2929492,1,0,True,0,"[0.8567807910021504, 1.2066490762589324]","[29.007605864309646, 2.700959762181226]","[0.12794547314978114, -0.010467193128502458, -0.2594539290294051]",1
69,1704890619.4489756,1,0,True,0,"[0.8532762113289178, 1.2022651634841603]","[30.005563140355406, 3.5565356320104513]","[0.13221734364893362, -0.01163770782146347, -0.2735962634906173]",1
70,1704890619.6043766,1,0,True,0,"[0.8487594912922299, 1.196550049124694]","[31.30864844404298, 4.671055937688454]","[0.1377823065515517, -0.013258078835572142, -0.2919363146647811]",1
71,1704890619.7474184,1,0,True,0,"[0.8462821866282955, 1.1933903961998638]","[32.0119195802006, 5.268798429462936]","[0.14085514098606663, -0.014201669819025832, -0.30172485765069723]",1
72,1704890619.904993,1,0,True,0,"[0.8416689049717507, 1.1877360721268515]","[32.705722485928575, 5.777394814336795]","[0.14630855289096822, -0.015928228781977048, -0.3097975617274642]",1
73,1704890620.0577848,1,0,True,0,"[0.8381146901056843, 1.1832986688097482]","[33.36473128750611, 6.288008798093418]","[0.1505936987326861, -0.017319339053180078, -0.3179673319682479]",1
74,1704890620.2124772,1,0,True,0,"[0.8346179917839562, 1.1789574665301723]","[33.90201877755437, 6.679600164045542]","[0.15477292817661636, -0.018708486759784107, -0.3241224652156234]",1
75,1704890620.368854,1,0,True,0,"[0.8314405124302906, 1.1747081567663848]","[34.99101700751568, 7.6183309807328525]","[0.15891203557569142, -0.02013710747563291, -0.33939725812524557]",1
76,1704890620.5247934,1,0,True,0,"[0.8283822889995706, 1.170575309831029]","[36.03276954726644, 8.512165858571029]","[0.16293317180984535, -0.021595630578149533, -0.3538700705394149]",1
77,1704890620.6811345,1,0,True,0,"[0.8253043636813817, 1.166384484065844]","[37.05665252610565, 9.384527281089207]","[0.16700539070671777, -0.023134866768366253, -0.3679204350337386]",1
78,1704890620.837046,1,0,True,0,"[0.8222827218453547, 1.162214862656156]","[38.08163759576953, 10.25676937031227]","[0.1710549351334025, -0.02473280079191887, -0.38191077765077347]",1
79,1704890620.9926014,1,0,True,0,"[0.8193271501061554, 1.1581077487489357]","[39.052752097624115, 11.076001443358942]","[0.1750361438651803, -0.02636498648618428, -0.3949673241004348]",1
80,1704890621.1491182,1,0,True,0,"[0.8164452700590947, 1.1540092423017718]","[40.096543127888594, 11.965597552777888]","[0.179017460183537, -0.02806250617293287, -0.4091416960582137]",1
81,1704890621.3050146,1,0,True,0,"[0.8135436066560183, 1.1498353607791942]","[41.14326681918751, 12.853553837182163]","[0.18306725702544843, -0.02985644877492698, -0.42321354802697897]",1
82,1704890621.4610083,1,0,True,0,"[0.8107001564342514, 1.1456140163269486]","[42.32109942023436, 13.867589996559122]","[0.1871819546498866, -0.03175260175240446, -0.4393150573596359]",1
83,1704890621.6164215,1,0,True,0,"[0.8071190926110966, 1.1402948000268953]","[43.65450404665028, 14.993307155554668]","[0.19233631805286955, -0.03423306851214581, -0.4569656914100051]",1
84,1704890621.7769456,1,0,True,0,"[0.8046253240702683, 1.1365824886383242]","[44.49983690168771, 15.69272435939341]","[0.1959135528360946, -0.036020801647383714, -0.46778160985559225]",1
85,1704890621.932888,1,0,False,0,"[0.8040850096682366, 1.135782371872583]","[44.666419194160554, 15.827837261685506]","[0.1966811768654784, -0.03640980344218209, -0.4698464339599014]",1
86,1704890622.0889406,1,0,False,0,"[0.8040551034525156, 1.1357360353840924]","[44.67932200587826, 15.838882254219632]","[0.19672630996221882, -0.036432727816733505, -0.4700197046622634]",1
87,1704890622.2445927,1,0,False,0,"[0.8040564100317072, 1.1357365425762513]","[44.681545466597775, 15.841101747571878]","[0.19672630996221882, -0.036432727816733505, -0.47005686815828085]",1
88,1704890622.4009922,1,0,False,0,"[0.8040532426872663, 1.1357353131513714]","[44.67615530632338, 15.835721209781958]","[0.19672630996221882, -0.036432727816733505, -0.4699667757377029]",1
89,1704890622.5571227,1,0,True,0,"[0.8036686588626618, 1.1353606288602713]","[44.43674377347616, 15.584824846633047]","[0.19702006938394132, -0.036580956981953565, -0.4656907385215163]",1
90,1704890622.7098134,1,0,True,0,"[0.8027120985060905, 1.134649884210658]","[43.44090857170394, 14.572820138381436]","[0.19747455567418135, -0.03680386583774615, -0.4486377602443099]",1
91,1704890622.8644333,1,0,True,0,"[0.8016561573562438, 1.1341527800734699]","[41.81049144723303, 12.940738542387708]","[0.19763489207942317, -0.036879241811847596, -0.42128569539636374]",1
92,1704890623.020737,1,0,True,0,"[0.8006800018615712, 1.1338036688264779]","[40.09573842105184, 11.230738173319457]","[0.19768137975758396, -0.03689927725933082, -0.39266515430063004]",1
93,1704890623.1769836,1,0,True,0,"[0.7997927883582432, 1.1335703982331533]","[38.37239460286385, 9.516546595261978]","[0.19765795653310608, -0.036889686461698795, -0.36399487312883133]",1
94,1704890623.3331013,1,0,True,0,"[0.7988904079399998, 1.1333069456074985]","[36.67230717296853, 7.824370181381063]","[0.19770564609525856, -0.036906663771212954, -0.3356888061389327]",1
95,1704890623.4886131,1,0,True,0,"[0.7980359749818126, 1.133130139948514]","[34.91422015240014, 6.077994267740218]","[0.19770594593294621, -0.03690576492957425, -0.30648849066346884]",1
96,1704890623.6444297,1,0,True,0,"[0.7972192825154533, 1.132953196065551]","[33.24986769387901, 4.424473307925842]","[0.19775447090580128, -0.03692017347920238, -0.27884013112634426]",1
97,1704890623.800992,1,0,True,0,"[0.796392046534613, 1.1328119948218829]","[31.483219267273924, 2.671065719454094]","[0.19780326387055405, -0.03693364480550535, -0.24952567275613546]",1
98,1704890623.9545963,1,0,True,0,"[0.7955701071116098, 1.1328382872704876]","[29.362485784856126, 0.5731671897246782]","[0.19772918730545266, -0.036916947377547596, -0.214458710514009]",1
99,1704890624.1085334,1,0,True,0,"[0.7949178828332166, 1.1328965843145378]","[27.593744336624713, -1.1751845154664482]","[0.19767956869553993, -0.03690692156451492, -0.1852337634190917]",1
100,1704890624.2649965,1,0,True,0,"[0.7942426348397321, 1.1329230810583977]","[25.83617895380054, -2.913481251354873]","[0.19770432696450974, -0.036912273817436746, -0.1561761861667037]",1
101,1704890624.4245164,1,0,True,0,"[0.7935528911969044, 1.1329149383166712]","[24.12367347847936, -4.6082326843750145]","[0.19780451021275755, -0.03692685780379773, -0.12785022612661123]",1
102,1704890624.580941,1,0,True,0,"[0.7929303921867709, 1.133035997217909]","[22.280712011800784, -6.427623803829565]","[0.1978296897567489, -0.03692945790879503, -0.09743425901979208]",1
103,1704890624.7368534,1,0,True,0,"[0.7924494854676287, 1.1332699020216566]","[20.52317016627492, -8.15870067532509]","[0.19777920240466676, -0.03692577678717703, -0.06848226394504309]",1
104,1704890624.8897758,1,0,True,0,"[0.792060379757152, 1.1335957826313812]","[18.770842564315068, -9.881563990990543]","[0.19767808774933202, -0.03692081854370204, -0.03965412359684705]",1
105,1704890625.0451066,1,0,True,0,"[0.7916910757378239, 1.1339381342216672]","[17.02427448611357, -11.598137996787807]","[0.19760219545821234, -0.03691838807099525, -0.010926877148449421]",1
